iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
22,10.205700159072876,-4.009115998566168,3.592720119117098,34.932592766977216,-11.075901540077172,487.5,280.8215625624215,1570,0,0.0,1.0,0.07818078994750977,1.8127517700195312,0.009894153,-0.020559188,0.00063008396,-2.199209249736451,0.0,487.5,40000,10.162066221237183,0.5063437922706633,0.41671455948650427,-3.4548109873513453,0.0,136.8
23,10.083305358886719,-4.073978474125417,3.560645596785079,36.900001151761515,-8.457869432039328,475.05,282.6464178085404,1420,0,0.0,0.8,0.08120942115783691,1.8083267211914062,0.0064127045,-0.020088218,0.0013380178,-2.3866861721753474,0.0,475.05,40000,11.18161392211914,0.3650693677587308,0.2309911835457635,-3.5434755436722996,0.0,110.8
24,10.37991714477539,-4.374879808209863,1.1947674889417097,2.4764872841659757,-7.081128158954857,502.2,332.32086904075106,2830,0,0.0,0.8,0.08173513412475586,1.7821784019470215,0.0064336425,0.0027201613,-0.016612234,-2.5855055357787995,0.0,502.2,40000,11.880118131637573,0.09949290237332316,0.03105285123139217,-3.4308269860891123,0.0,115.6
25,10.29896593093872,-4.367532570415135,1.451603111655776,2.7186177250473356,-7.296900558873247,403.05,251.92895327849874,1390,0,0.0,0.8,0.07718777656555176,1.7992136478424072,0.0064510843,-0.017781943,0.00084418524,-2.7637082392424333,0.0,403.05,40000,11.043901681900024,0.06763664725100699,0.05416074405011836,-3.582990417510713,0.0,96.8
26,10.05935263633728,-4.255711071963366,1.712764692827616,12.537178943814007,-7.021975444900123,445.65,257.8033698383324,1430,20,0.0,1.0,0.07683300971984863,1.7932970523834229,0.0099942265,-0.02630944,0.0046852655,-2.9129085225145266,0.0,445.65,40000,10.121522665023804,0.14925813982967362,0.12455455509375304,-3.64899606115613,0.0,166.4
27,10.2026686668396,-4.147235313496548,3.5144866107535835,32.69609976407869,-7.30643555660575,498.05,298.02465921463613,1920,0,0.0,0.8,0.07767224311828613,1.7656686305999756,0.006578432,-0.01921137,0.0025354985,-3.036341201612729,0.0,498.05,40000,10.384857892990112,0.5259543017754431,0.2544884473034429,-3.6882298196638397,0.0,125.2
28,9.85890245437622,-4.46836570953349,1.3194472624451126,1.4148504853966728,-7.082775430870777,517.95,256.25240974476714,1270,50,0.0,1.0,0.07958364486694336,1.88789963722229,0.009850129,0.0031262576,-0.019953838,-3.1795436524048055,0.0,517.95,40000,11.143782377243042,0.11700067042889774,0.04184659347647349,-3.6606986488520117,0.0,119.6
29,9.954183101654053,-3.77021422715037,6.52044753477621,79.95336214058675,-7.812914839395088,395.45,235.50540864277406,1090,0,0.0,1.0,0.0761559009552002,1.8018131256103516,0.009999885,-0.019123962,0.0031819153,-3.238610709879362,0.0,395.45,40000,10.71668553352356,0.7691919219387252,0.4264698822500171,-3.6759793546111377,0.0,88.4
30,10.127145528793335,-4.483828092266687,1.5270845751298179,7.347244155395298,-7.386832513474674,405.0,240.53897813036457,1240,0,0.0,0.8,0.08129072189331055,1.8196678161621094,0.0064210035,-0.021876443,0.000583088,-3.363132448118095,0.0,405.0,40000,11.318622350692749,0.18783437206492226,0.0889780838443172,-3.805715750107078,0.0,78.4
31,9.957937955856323,-4.376865954173805,3.241718870964553,38.109746776751145,-7.111978361248147,438.1,266.15294475169725,1670,0,0.0,1.0,0.07669973373413086,1.7728674411773682,0.00988514,-0.01624904,0.00016016111,-3.464505798723666,0.0,438.1,40000,11.33722186088562,0.46102329041771634,0.13571108355265438,-3.854157619050045,0.0,85.2
