iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.465332269668579,-2578.2516031482937,490.6996831917391,-1930.311442389711,-3921.148714008409,"(0.0, 514450)",215.66157795462686,0.05,0.09804129600524902,1.5689945220947266,0.022956872,0.021432946,-2578.2516031482937,0.0,514450,40000,1.6513514518737793,0.9998580947626967,0.09115636603619705,-2110.0983179989066,"(0.0, 52620)"
1,9.864668130874634,-2362.9711163852276,402.8271677665578,-1954.3210660596237,-3619.3110948745834,"(0.0, 471480)",201.16240645404034,0.05,0.10000777244567871,1.511998176574707,0.024408832,0.023124387,-2556.7235544719874,0.0,471480,40000,3.7878148555755615,0.09656822111879129,0.036357015257106655,-2092.692903540008,"(0.0, 52180)"
2,10.873912572860718,-2259.414002754612,348.74450646198756,-1868.0266854999309,-3763.1004434926153,"(0.0, 450800)",191.88928341496305,0.05,0.09672760963439941,1.4994707107543945,0.024295468,0.024267973,-2526.99259930025,0.0,450800,40000,4.978173017501831,0.030680337774010583,0.025791026516943164,-2083.739316766716,"(0.0, 51970)"
3,10.47801685333252,-2182.352440913216,304.372120037872,-1835.3859730790841,-3360.323271404166,"(0.0, 435470)",187.22326794353015,0.05,0.09796309471130371,1.4769206047058105,0.024904054,0.024669098,-2492.5285834615465,0.0,435470,40000,4.7199788093566895,0.026427472775425804,0.024295671766786257,-2036.5154466193999,"(0.0, 50800)"
4,10.96985125541687,-2043.536919715803,147.8558315112258,-1692.2668258714336,-2715.132047623103,"(0.0, 407870)",191.93745767572096,0.05,0.0966346263885498,1.5031540393829346,0.023882888,0.02468338,-2447.6294170869724,0.0,407870,40000,5.098418951034546,0.016877091666371878,0.008518232748355175,-1983.3278192669627,"(0.0, 49480)"
5,10.268113374710083,-2018.5405633232272,108.07479491421667,-1782.8479899673457,-2755.759469458222,"(0.0, 402880)",193.5466134638591,0.05,0.09990072250366211,1.5162849426269531,0.023083555,0.02332687,-2404.7205317105977,0.0,402880,40000,5.351025104522705,0.005810978500871459,0.004844820469904584,-1988.2120015430532,"(0.0, 49590)"
6,10.490376472473145,-2003.2786407530466,98.02285346016072,-1619.8199212155002,-2615.1807030789982,"(0.0, 399900)",195.92589389071006,0.05,0.10148048400878906,1.5194406509399414,0.024002561,0.023176178,-2364.576342614843,0.0,399900,40000,5.688694953918457,0.004086915080146035,0.003690589179322467,-1930.8327870708695,"(0.0, 48400)"
7,10.071662425994873,-1994.4473733526456,91.52412150839629,-1369.2893086090903,-2404.4959385374227,"(0.0, 398110)",186.2989150238471,0.05,0.09838461875915527,1.5250959396362305,0.024425924,0.02472452,-2327.5634456886232,0.0,398110,40000,5.167721509933472,0.00403786475311892,0.0037671042933932284,-1952.3231457763357,"(0.0, 48770)"
8,11.06824541091919,-1992.1970650161725,118.83338676118828,-1542.1055988730236,-3277.3140869833396,"(0.0, 397690)",192.80590824821138,0.05,0.09662747383117676,1.5102784633636475,0.025144294,0.025211155,-2294.026807621378,0.0,397690,40000,5.311451196670532,0.005713966067789518,0.00535773553620433,-1991.530480575701,"(0.0, 49680)"
9,10.268157720565796,-1985.098244576378,110.17662672332868,-1143.2653052197622,-2667.38547667697,"(0.0, 396350)",184.61976718344255,0.05,0.09575486183166504,1.517455816268921,0.023516953,0.026742987,-2263.133951316878,0.0,396350,40000,5.4766435623168945,0.004934609658102189,0.004702096510068428,-1991.5693127909149,"(0.0, 49670)"
