iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
10,18.963212728500366,-1940.7516634110932,98.21209350303016,-1604.0121637993097,-2695.577261945492,"(0.0, 387470)",187.87051208126303,0.05,0.17123103141784668,3.462287425994873,0.024264997,0.02343565,-2191.0400551190437,0.0,387470,40000,9.061225652694702,0.004325475988029853,0.0043951035636413975,-1916.207222207304,"(0.0, 47880)"
11,19.25895071029663,-1942.7557703737323,117.69639339767456,-1163.6205378543177,-2787.358250114537,"(0.0, 387810)",177.86260310637044,0.05,0.13251924514770508,3.32749605178833,0.025087228,0.02975894,-2166.2116266445128,0.0,387810,40000,8.188716650009155,0.005781036096714105,0.005318100591750651,-1955.878536809745,"(0.0, 48790)"
12,17.793911457061768,-1940.6873025703012,85.33413566138658,-1594.8596318404584,-2705.50277945396,"(0.0, 387410)",176.33673795792427,0.05,0.20553374290466309,3.561486005783081,0.02452633,0.025215182,-2143.6591942370915,0.0,387410,40000,7.1154563426971436,0.003041622833252464,0.002752113451079723,-1905.7669073954603,"(0.0, 47610)"
13,17.92179536819458,-1923.6061072189782,102.33239213807639,-1368.1562360850005,-2636.673729976318,"(0.0, 384140)",193.42062402850965,0.05,0.14367270469665527,3.371983289718628,0.024440143,0.025197098,-2121.65388553528,0.0,384140,40000,7.38707160949707,0.003767328211340452,0.003502511336272647,-1901.8230785432604,"(0.0, 47500)"
14,18.015307426452637,-1946.9472698447507,132.39855848644447,-1349.435344832631,-3166.341373304185,"(0.0, 388680)",182.8739202693099,0.05,0.21735024452209473,3.4340391159057617,0.025093311,0.024649315,-2104.183223966227,0.0,388680,40000,7.274455308914185,0.006598972399956454,0.0063271481277745786,-1944.6516751096765,"(0.0, 48530)"
15,19.164371252059937,-1909.2984326574783,109.70231439522362,-1020.7099009287705,-2081.729584503001,"(0.0, 381280)",194.90044748557722,0.05,0.1925346851348877,3.129521369934082,0.024930563,0.026369741,-2084.694744835352,0.0,381280,40000,9.79677414894104,0.0039009026649683806,0.0032933454642903024,-1931.6190785538631,"(0.0, 48220)"
16,19.19062328338623,-1926.2860553658493,100.93231449889547,-1252.8128530757706,-2625.7703695865193,"(0.0, 384660)",189.8304720174531,0.05,0.14806699752807617,2.885996103286743,0.025248233,0.026177002,-2068.853875888402,0.0,384660,40000,12.689160346984863,0.004455092740879482,0.0037905762390968625,-1923.2474769210576,"(0.0, 48010)"
17,19.12365436553955,-1910.8709358232113,127.42694826740562,-569.7656444115435,-2053.911814394267,"(0.0, 381570)",185.9517560184138,0.05,0.1850736141204834,3.4584243297576904,0.023991484,0.031170268,-2053.055581881883,0.0,381570,40000,12.41831111907959,0.005310464426102349,0.004681983548836116,-1943.4245227792073,"(0.0, 48480)"
18,16.906853675842285,-1926.8893793470559,124.67547178399218,-1101.0039869154405,-2443.685222398085,"(0.0, 384740)",194.09406341509145,0.05,0.22727179527282715,4.175513505935669,0.025543557,0.025875144,-2040.4389616284002,0.0,384740,40000,13.711355209350586,0.00587923526570864,0.005606008545027463,-1945.3112810814791,"(0.0, 48530)"
19,18.634432554244995,-1922.7369751426077,64.22332004886933,-1552.498819738162,-2234.0715214471347,"(0.0, 383840)",181.1771294694485,0.05,0.21851038932800293,3.852877140045166,0.024849955,0.030160947,-2028.6687629798212,0.0,383840,40000,14.476969957351685,0.002142197286476558,0.0017425154858237565,-1936.2964711609932,"(0.0, 48310)"
