iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,10.760735511779785,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,1.8553999999999993,0.5162052305043,3.840000000000001,0.5800000000000003,0.0,0.0,0.07919120788574219,1.829627513885498,0.0,0.0,0.0,-2.1597585517469557,0.0,1.8554000000000008,40000,1.079167366027832,0.9992773176349077,0.7896938583740187,-4.380441301191137,0.0,1.8775999999999997
1,10.255192995071411,-0.3031450523117034,38.64352797039958,525.5166709464701,-11.688281854273239,1.8817499999999994,0.5045596471181555,3.8500000000000028,0.42000000000000026,0.0,1,0.07504916191101074,1.8325371742248535,0.009964371,0.004578929,-0.021764949,-1.9740972018034306,0.0,1.8817499999999998,40000,7.741980791091919,0.9649441661886385,0.9246735646899447,-4.430865185836474,0.0,1.8575999999999993
2,10.267343044281006,-1.8718483800475803,14.317556700515027,156.95361624151025,-8.04868398037797,1.9143999999999985,0.4883519632396258,3.409999999999992,0.6500000000000004,0.0,0.0,0.07892990112304688,1.810899257659912,0.0,0.0,0.0,-1.9638723196278456,0.0,1.9144000000000003,40000,13.195221185684204,1.1101643039750593,0.8753802748129541,-4.430865185836474,0.0,1.8575999999999993
3,10.27742338180542,-3.4222759844103807,7.409792002403311,49.418984146422005,-8.282857865218725,1.9275999999999993,0.4768052432597587,3.7399999999999984,0.6300000000000003,0.0,0.0,0.08134317398071289,1.850778341293335,0.0,0.0,0.0,-2.109712686106099,0.0,1.9276000000000004,40000,13.242772340774536,0.9515809585433694,0.7341583421155015,-4.430865185836474,0.0,1.8575999999999993
4,10.156902074813843,-3.3314351348489275,6.438396359400318,43.30152704970628,-7.506038224815194,1.8723499999999993,0.4854822113115966,3.509999999999995,0.35000000000000014,0.0,0.0,0.07787513732910156,1.8642594814300537,0.0,0.0,0.0,-2.231884930980382,0.0,1.8723499999999995,40000,11.900084495544434,0.8256779162549824,0.7645689317604901,-4.430865185836474,0.0,1.8575999999999993
5,10.271850824356079,-1.8422140896983519,12.635956105347589,72.7523719724036,-9.709481595371603,1.8775499999999994,0.48370393579130355,3.6199999999999966,0.7700000000000005,0.0,0.0,0.08053278923034668,1.866872787475586,0.0,0.0,0.0,-2.192917846852179,0.0,1.8775500000000012,40000,12.052322626113892,0.8506004010378402,0.7053190485271167,-4.430865185836474,0.0,1.8575999999999993
6,10.158499002456665,-2.1263079936767153,18.64428484405401,226.70325432516088,-7.919626230154554,1.8818999999999995,0.4917269465872272,3.3999999999999924,0.34000000000000014,0.0,1,0.0812993049621582,1.8679473400115967,0.009868634,0.0018454879,-0.024445,-2.1862568615346327,0.0,1.8819000000000004,40000,12.40430760383606,0.8891998387861177,0.7237071965556784,-4.483463534104671,0.0,1.8463999999999998
7,10.002858400344849,-2.174142304767411,16.11095800497398,191.0780379351472,-9.84878996126614,1.9032999999999993,0.5125574211734691,3.459999999999993,0.30000000000000004,0.0,0.0,0.0961158275604248,1.7889084815979004,0.0,0.0,0.0,-2.1850454058579105,0.0,1.9032999999999987,40000,12.161262035369873,0.9611957601048692,0.8083812566428612,-4.483463534104671,0.0,1.8463999999999998
8,10.158155918121338,-4.065505083513611,5.234008510190693,42.69058062455462,-7.761138693470821,1.948499999999999,0.47423491014474817,3.3599999999999937,0.6400000000000003,0.0,1,0.07586240768432617,1.8747708797454834,0.00997804,-0.014219387,-0.027103167,-2.3730913736234807,0.0,1.9484999999999988,40000,12.234984397888184,1.2571253654875,0.5960440727285528,-4.393578031814917,0.0,1.7852
9,10.201806545257568,-3.608502066545776,6.724583837024749,53.59472607340081,-8.186803391412164,1.897449999999999,0.4876781700055863,3.680000000000002,0.8200000000000005,0.0,1,0.08632755279541016,1.8234431743621826,0.00997788,0.0019691207,-0.020360151,-2.4966324429157103,0.0,1.8974499999999999,40000,12.331331253051758,0.7542324136106053,0.7009262889003133,-3.6809257932975648,0.0,1.7847999999999997
10,10.2670259475708,-3.299835092283123,8.206580314059249,85.24248582465754,-11.942360665068575,1.8657999999999992,0.45856336530516467,3.3699999999999943,0.22000000000000006,0.0,1,0.09052562713623047,1.8203718662261963,0.009597151,-0.0031961566,-0.023779335,-2.5769527078524517,0.0,1.8658000000000003,40000,11.396157264709473,0.6434027919540294,0.526916097141136,-4.371839321933147,0.0,1.7923999999999995
11,9.967423915863037,-2.820888265419003,10.907633918079176,73.86390592940262,-7.507327876362339,1.8751999999999993,0.5459853111577249,3.8700000000000028,0.34000000000000014,0.0,1,0.0804753303527832,1.8520054817199707,0.009849938,0.012117152,-0.02698529,-2.601346263609107,0.0,1.8752000000000002,40000,11.055330514907837,0.7468833160066802,0.5618028778272555,-4.256241034953475,0.0,1.7752
12,10.3184654712677,-4.140437869389107,4.017520478683283,30.97353733887008,-9.021982153860531,1.8867499999999993,0.44813160734319757,3.5000000000000004,0.5800000000000003,0.0,1,0.08297300338745117,1.8938100337982178,0.009995045,-0.015270978,-0.027098421,-2.7552554241871072,0.0,1.88675,40000,11.580363273620605,0.9429732819737118,0.5412349520301596,-4.329710175349023,0.0,1.7460000000000004
13,10.27433156967163,-3.1135503253178753,8.162619604004036,60.63266901600941,-8.56606321652566,1.8637499999999994,0.47171753995372884,3.229999999999987,0.38000000000000017,0.0,0.0,0.08323931694030762,1.8351566791534424,0.0,0.0,0.0,-2.7910849143001837,0.0,1.8637500000000002,40000,11.768699407577515,0.7798401774416126,0.5832235024903537,-4.329710175349023,0.0,1.7460000000000004
14,10.056816101074219,-2.3711900351030324,14.27289412885317,148.66130488367057,-8.641561147294578,1.9291999999999996,0.5178671258151052,3.900000000000003,0.6200000000000003,0.0,1,0.0821986198425293,1.8702998161315918,0.009841005,-0.00027221345,-0.027931133,-2.7490954263804683,0.0,1.9291999999999998,40000,11.724956274032593,0.8611839121119005,0.7484560366770974,-3.3874598628125994,0.0,1.72
15,10.311305284500122,-0.7665392723748445,41.1616500301062,548.8953833286672,-8.122962534988854,1.8710999999999995,0.48692585677903527,3.5199999999999934,0.8200000000000004,0.5,1,0.07989382743835449,1.8244102001190186,0.009972564,0.010538279,-0.024200032,-2.550839810979906,0.5,1.8710999999999987,40000,11.998294591903687,0.8836241918439638,0.6072246958094697,-3.950292547455481,0.0,1.7540000000000004
16,10.255123615264893,-3.2044601235056063,8.333280310311451,65.45507472581082,-8.627056769303428,1.8157499999999993,0.48787030807377224,3.6800000000000015,0.7500000000000004,0.0,0.0,0.07842588424682617,1.7975587844848633,0.0,0.0,0.0,-2.6162018422324764,0.0,1.8157499999999995,40000,11.154109477996826,6.342188335085926,0.6255841230706263,-3.950292547455481,0.0,1.7540000000000004
17,10.274511575698853,-3.508701291218494,7.6879495383183185,49.357654996758,-10.548163152024301,1.8536999999999995,0.503621196932772,3.810000000000002,0.6800000000000004,0.0,1,0.07670998573303223,1.7790453433990479,0.009447124,-0.006785353,-0.032206643,-2.7054517871310786,0.0,1.8536999999999997,40000,11.251723527908325,0.7875611376510446,0.6705101735546842,-4.428530917696445,0.0,1.874
18,10.317500829696655,-3.8328168186423115,5.509726006900424,41.40742719193722,-9.812593698794965,1.8306,0.47306515407499444,3.900000000000003,0.6700000000000004,0.0,1,0.08046388626098633,1.8150701522827148,0.009987223,-0.015135166,-0.030931361,-2.818188290282202,0.0,1.8306000000000002,40000,9.802339315414429,0.8544813583021651,0.6507841699036643,-4.066773268175805,0.0,1.7816
19,10.27747654914856,-3.0793939733758053,8.80828394988255,75.54341133176652,-8.432128416634228,1.8126000000000002,0.4214145702274647,3.3700000000000023,0.6100000000000003,0.0,0.0,0.08004212379455566,1.7873804569244385,0.0,0.0,0.0,-2.844308858591562,0.0,1.8126,40000,10.412381172180176,0.7821804767209876,0.6149808922306096,-4.066773268175805,0.0,1.7816
20,10.160510778427124,-3.543468223430433,6.48837142071421,65.32450842577664,-8.36410345243717,1.82255,0.47019676466347426,3.5699999999999954,0.49000000000000027,0.0,0.0,0.0757453441619873,1.801957607269287,0.0,0.0,0.0,-2.9142247950754494,0.0,1.822550000000001,40000,11.282149076461792,0.7534613805123571,0.6665788653535768,-4.066773268175805,0.0,1.7816
