iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
10,11.367131471633911,-1928.5648426524901,270.3533388750687,314.08659127761337,-2353.590783897173,"(1.0, 387150)",148.97087051599178,0.05,0.0770406723022461,1.4836654663085938,0.024845447,0.03569388,-2055.008886033287,1.0,387150,40000,5.056137561798096,0.03077297809003533,0.02873028812437777,-1719.5293239980156,"(0.0, 43640)"
11,11.264440774917603,-1938.555183407088,247.28690684193384,-331.70419899331887,-2574.8062962287804,"(0.5, 388250)",132.25870411831855,0.05,0.07268214225769043,1.5149977207183838,0.02488742,0.040049843,-2043.3635157706674,0.5,388250,40000,4.882473468780518,0.024072429222908677,0.023138577662949657,-1777.8544470318511,"(4.0, 44960)"
12,11.662122011184692,-1931.8078382826156,201.2498463429764,-462.22788972576916,-2134.569483228831,"(0.0, 386580)",131.6578955712098,0.05,0.07461810111999512,1.5106205940246582,0.024648055,0.040009975,-2032.2079480218622,0.0,386580,40000,4.887699842453003,0.016934249094045863,0.015885619021829025,-1782.953245290897,"(0.0, 44830)"
13,11.36647343635559,-1929.2707066615558,257.6007998627162,-474.00497471353805,-2484.438313418581,"(0.5, 386360)",122.62733394058588,0.05,0.0780191421508789,1.479372501373291,0.024772156,0.0497036,-2021.9142238858317,0.5,386360,40000,4.624586582183838,0.025580169886485798,0.02438989363092075,-1785.0790337157396,"(0.0, 45030)"
14,10.368785619735718,-1933.4037832530769,203.90751454235973,-542.7117161059168,-2223.842096702886,"(0.0, 386960)",135.6163695830119,0.05,0.07596468925476074,1.5310423374176025,0.024894904,0.038793467,-2013.0631798225563,0.0,386960,40000,4.746845483779907,0.018871398093010663,0.017445318827046377,-1814.2536233179876,"(0.0, 45670)"
15,10.167170763015747,-1969.6900627515192,172.24707311588924,-809.1839560900206,-2474.187642513147,"(0.0, 393740)",136.4073274279677,0.05,0.0762031078338623,1.5120937824249268,0.025223667,0.03839675,-2008.7258681154526,0.0,393740,40000,3.612440347671509,0.012578398191422412,0.011738725190537619,-1860.2369872215766,"(0.0, 46630)"
16,11.393618106842041,-1945.906380844944,222.29706058265018,-97.36930055888436,-2283.5762798714177,"(0.5, 390080)",145.74076641109326,0.05,0.07311511039733887,1.4833567142486572,0.025443926,0.040654432,-2002.4439193884018,0.5,390080,40000,3.5946614742279053,0.02316708015289547,0.020743521050480357,-1842.0954400332528,"(0.0, 46210)"
17,11.369284391403198,-1887.6640805587904,309.4790840229906,-619.6301005641428,-2264.1842853056737,"(0.5, 378950)",134.4766585612157,0.05,0.07473468780517578,1.4819896221160889,0.025025945,0.039130885,-1990.9659355054407,0.5,378950,40000,4.325342655181885,0.03900663026617397,0.0361123341352804,-1934.3096281873777,"(0.0, 48350)"
18,10.66560673713684,-1939.4086953017,264.2095523106303,-222.43969233110826,-2634.1742619686174,"(0.5, 389020)",137.43103936724046,0.05,0.07802939414978027,1.4732537269592285,0.025085581,0.037799798,-1985.8102114850667,0.5,389020,40000,5.1302525997161865,0.02975806612661326,0.02646414163382407,-1869.306257087586,"(0.0, 47010)"
19,10.577468633651733,-1957.7400392904733,207.1506056168576,-825.1539699461381,-3070.555594811545,"(0.0, 391740)",134.9207111990311,0.05,0.07616281509399414,1.4757461547851562,0.024899958,0.038988672,-1983.0031942656074,0.0,391740,40000,5.066341400146484,0.019607634241120508,0.018174571390144785,-1904.4817766478156,"(0.0, 47690)"
