iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,time_cost_VF,VF_cost_error_before,VF_cost_error_after,eval_score,eval_success,eval_avg_cost
0,9.744911670684814,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,1.628200000000001,0.3375037184980335,2.5999999999999917,0.49000000000000027,0.0,1.0,0.05563163757324219,1.441802978515625,0.009996434,0.013068311,-0.020609614,-2.1597585517469557,0.0,1.6282000000000008,40000,1.4760825634002686,0.9992773176349077,0.7896604180589247,1.499030590057373,1.0142390664410625,0.053951876552232304,-4.16178645174214,0.0,1.6127999999999998
1,9.759103536605835,0.32307866065424407,23.999556029777356,270.01585473450126,-8.797695022797598,1.5324000000000013,0.3763193324824014,2.82,0.2700000000000001,0.0,1.0,0.05346107482910156,1.471268892288208,0.009923468,0.008655858,-0.021727795,-1.9114748305068359,0.0,1.5324,40000,4.362773895263672,0.8892174781245916,0.7910259378343012,2.7262980937957764,0.07631512165560721,0.07362241756897017,-3.786534340096674,0.0,1.4904
2,9.553900241851807,-1.6985867756672752,12.142956799984804,73.42586018506738,-10.605495003252694,1.5166000000000013,0.3277749837922354,2.0400000000000005,0.16,0.0,1.0,0.05443549156188965,1.4283843040466309,0.009991922,0.010593595,-0.021971086,-1.8901860250228797,0.0,1.5166,40000,5.984969139099121,1.0465228388835957,0.756270681585135,4.4760682582855225,0.06602288203084765,0.06353996272036735,-3.7218583737113415,0.0,1.3283999999999998
3,9.653311014175415,-0.6674027739733185,17.947525036184544,203.13521092308034,-7.383650805124826,1.3593000000000008,0.36955176903919734,1.9300000000000015,0.0,0.0,0.9,0.055179595947265625,1.4653205871582031,0.008101274,0.0052230824,-0.018965105,-1.7679076999179235,0.0,1.3593000000000002,40000,6.299620628356934,0.8986274522893631,0.8491738415609533,5.208394765853882,0.09803847478227512,0.08183813546469917,-2.8540957493237835,0.0,1.0999999999999999
4,9.657384872436523,0.052331237075477086,19.183089777967172,206.3464234644331,-7.7729269801009915,1.2927000000000008,0.37348053496802247,1.9900000000000013,0.3300000000000001,0.0,1.0,0.055741071701049805,1.4078147411346436,0.009942244,0.007494627,-0.021492684,-1.5858838062185834,0.0,1.2927000000000002,40000,6.059627532958984,0.8225895846368131,0.7486906005259213,5.542229652404785,0.10180801430697763,0.10340755673429441,-1.7335815793186307,0.0,0.8351999999999998
5,9.756142139434814,-0.3939093942118643,20.878602107044248,236.81077079131586,-8.13190476322151,1.143750000000001,0.36355527433940527,1.8900000000000015,0.0,0.0,1.0,0.0561213493347168,1.4853715896606445,0.009922555,0.0053658066,-0.021106655,-1.4666863650179116,0.0,1.1437500000000003,40000,6.1204047203063965,0.8542166645089223,0.809760379158279,5.493046283721924,0.15148755624359894,0.11468340340129442,-3.4831658884069907,0.0,0.6196
6,9.757160425186157,-2.0930952546611636,9.130404215097284,69.16564620458317,-7.111177520273023,1.1041000000000007,0.3713679980827646,1.8900000000000015,0.0,0.0,1.0,0.05529642105102539,1.443427324295044,0.009875519,0.007117932,-0.02088189,-1.529327253982237,0.0,1.1041,40000,6.074435234069824,0.9752701234177639,0.7299831652403687,5.976812839508057,0.12066036793625612,0.1094571141050563,-3.4660413978176052,0.0,0.5379999999999999
7,9.954163789749146,-3.3421724788999394,6.163366697205164,50.26189273228412,-9.249275343008568,0.9807000000000008,0.3524039017945179,1.8400000000000014,0.08,0.0,0.9,0.05470681190490723,1.3887100219726562,0.008102209,0.0042010387,-0.018045673,-1.7106117764740074,0.0,0.9806999999999999,40000,6.06254768371582,0.6953252920617531,0.603072561840431,4.842869520187378,0.1315404511901467,0.12115395073765145,-2.4595871966534744,0.0,0.40399999999999997
8,9.851874113082886,0.322783239005523,22.201870713073944,235.28433842699167,-9.919615813661023,0.9001000000000008,0.3373143785847265,1.7900000000000014,0.0,0.0,1.0,0.05324602127075195,1.3999509811401367,0.009985656,0.004143562,-0.02087491,-1.5072722749260543,0.0,0.9001000000000003,40000,5.828977584838867,0.8881493149450307,0.702523062954735,5.740631580352783,0.15886367409802343,0.15075153981545286,-1.3685213266899143,0.0,0.32199999999999995
9,9.954397916793823,-1.733360652455005,14.245694880008369,126.05429078181844,-9.827849298206626,0.7974500000000004,0.3311736666765644,1.6900000000000013,0.03,0.0,0.9,0.0544741153717041,1.401601791381836,0.008123569,0.004493507,-0.017597316,-1.5298811126789493,0.0,0.7974499999999994,40000,5.096777677536011,0.6812294075486947,0.6024453134482247,4.512195587158203,0.20189073210677258,0.18445171674959046,2.5159808100417447,0.0,0.2212
