iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,9.773019552230835,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,1.8155000000000012,0.2658942458948666,2.719999999999991,0.6200000000000003,0.0,0.6762843941153133,0.02,0.0535891056060791,1.456026554107666,0.008123097,0.026502864,-2.1597585517469557,0.0,1.8154999999999981,40000,1.5180373191833496,0.9992773176349077,0.7896604180589247,-4.513428208709686,0.0,1.8351999999999997
1,9.546165227890015,-1.4029622633950691,20.475881751163417,238.5756706562632,-8.86509419821767,1.825100000000001,0.29655520565318005,3.680000000000001,0.3000000000000001,0.0,0.9299906172951358,0.02,0.06307363510131836,1.5388705730438232,0.009985665,0.022195557,-2.0840789229117673,0.0,1.8250999999999997,40000,6.068445444107056,0.9085121648018657,0.8427301445180264,-4.336930304517222,0.0,1.8115999999999997
2,14.474780321121216,-1.3264109573221112,12.03954573538035,74.69494342354317,-7.831238085974767,1.812900000000001,0.24943053141105218,2.489999999999991,0.7100000000000004,0.0,0.904617553850006,0.02,0.0646066665649414,3.0977747440338135,0.009986481,0.022327626,-2.0083121263528017,0.0,1.8128999999999988,40000,9.340975761413574,0.9066725422177528,0.7669626714548892,-4.059609990605265,0.0,1.7447999999999997
3,14.580807447433472,1.2251136875504633,41.996688773044376,557.6303764128825,-7.7418226718530505,1.825700000000001,0.2696229033298169,2.6399999999999877,0.6400000000000003,0.5,0.8711959026051836,0.02,0.11442017555236816,3.391921043395996,0.009739089,0.030322481,-1.6849695449624753,0.5,1.8256999999999994,40000,10.604495286941528,0.9312284777616484,0.8271894186914475,-4.0983231317033635,0.0,1.7547999999999997
4,14.197858572006226,4.188699982643301,46.98940195782477,424.67257965375427,-9.154348490290687,1.8151000000000013,0.27090402359507326,2.569999999999989,0.4200000000000002,0.0,0.8154341043464803,0.02,0.12279653549194336,2.7364749908447266,0.008118082,0.022076843,-1.0976025922018977,0.0,1.8150999999999982,40000,9.899352073669434,0.8924144590568416,0.8411720708626548,-4.066201523897499,0.0,1.7327999999999997
5,16.37803888320923,6.230830172034281,87.28790586014523,1110.622200562833,-8.038454942979497,1.8074500000000011,0.25925662479481604,2.5099999999999905,0.4400000000000002,1.0,0.9282908548520201,0.02,0.10799717903137207,3.3215177059173584,0.008125784,0.018618071,-0.3647593157782798,1.0,1.8074499999999996,40000,14.791848182678223,0.8873844246346207,0.7806373012176864,-4.076214689090432,0.0,1.8263999999999996
6,15.225311994552612,-3.1690185076800983,8.219098806630853,81.27104468915348,-7.863815019713402,1.8303500000000015,0.207437647258158,2.3199999999999945,0.5100000000000002,0.0,0.7588740288074599,0.02,0.09996366500854492,2.5873234272003174,0.008112169,0.021151718,-0.6451852349684617,0.0,1.83035,40000,8.524011850357056,7.185401836040818,0.8248866476223913,-3.6986360101259037,0.0,1.7935999999999996
7,14.407427310943604,0.36364146072032727,32.954285903906225,385.19629264497905,-7.342464943460487,1.8116000000000012,0.2213694649223327,2.5199999999999907,0.6200000000000003,0.5,0.806331934165698,0.02,0.10825133323669434,2.498913049697876,0.008201566,0.022244299,-0.5443025653995828,0.5,1.8115999999999994,40000,9.312142372131348,0.9164375776390533,0.8171621713701233,-3.9835774975889042,0.0,1.8059999999999996
8,16.055057764053345,-0.8736977232156938,14.798819224442568,105.08720729797693,-9.26624756828909,1.778600000000001,0.2777391582042403,2.349999999999994,0.48000000000000026,0.0,0.7631432841657085,0.02,0.10464024543762207,3.1668694019317627,0.008163416,0.0212271,-0.5772420811811939,0.0,1.7785999999999982,40000,17.598384618759155,1.0692076430883124,0.6730016035445349,-3.552133965128525,0.0,1.8159999999999996
9,15.7187180519104,-3.3474623848334475,6.167593749467241,57.17818591315915,-8.2031239750271,1.8309500000000014,0.17514450462403874,2.409999999999993,0.8000000000000005,0.0,0.7865765475962059,0.02,0.11263322830200195,2.75968861579895,0.0082671195,0.018897086,-0.8542641115464193,0.0,1.8309500000000003,40000,11.583453893661499,1.0908662756412473,0.7948648508309214,-2.350183814498621,0.0,1.8295999999999994
10,14.977565050125122,-0.9437665097737954,13.664297455568372,85.70630721918718,-10.777467244055243,1.7833500000000015,0.23055862052848966,2.1200000000000014,0.3300000000000001,0.0,0.9457359976799165,0.02,0.12085700035095215,3.4346587657928467,0.009998396,0.021940615,-0.863214351369157,0.0,1.7833499999999995,40000,12.094435453414917,0.753373165668339,0.5856525381711959,-2.883919428366464,0.0,1.8463999999999996
11,16.083133697509766,-1.3485205862847909,12.819011763237636,102.74021768130535,-9.255735516648834,1.786300000000001,0.226319044713431,2.53999999999999,0.5000000000000002,0.0,0.9316064552611036,0.02,0.11124348640441895,3.9086999893188477,0.009912666,0.022269947,-0.9117449748607205,0.0,1.7862999999999993,40000,10.962063550949097,0.8246014606452139,0.7587701666377966,-1.883225058974761,0.0,1.8343999999999994
