iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,time_cost_VF,VF_cost_error_before,VF_cost_error_after,eval_score,eval_success,eval_avg_cost
0,5.027258396148682,-2.189331519590652,10.572332655125354,69.28189909969876,-8.37675882200692,1.618200000000001,0.2970989060902112,2.06,0.49000000000000027,0.0,1.0,0.025170564651489258,0.6478848457336426,0.009881787,0.012861834,-0.021028647,-2.189331519590652,0.0,1.6181999999999996,40000,0.8068692684173584,0.9991839678641212,0.823054597644778,0.7986438274383545,1.0145318714306355,0.0502670365902158,-4.52887743871564,0.0,1.5992
1,4.855221509933472,-3.3646932560381906,7.119583586851775,59.579871434303186,-7.941545023887398,1.5749500000000012,0.28047994135053606,1.9400000000000015,0.5600000000000003,0.0,1.0,0.02459239959716797,0.622462272644043,0.009941907,0.008666574,-0.021321092,-2.306867693235406,0.0,1.5749500000000012,40000,1.8392305374145508,1.001566256091114,0.7204046119778762,1.6429386138916016,0.045160174602024976,0.04410046614234128,-4.232195799050384,0.0,1.5723999999999998
2,4.9621741771698,-2.215053833343347,10.114411435412457,75.16008615040589,-9.931530936323647,1.5259000000000011,0.31639404229536333,1.9400000000000015,0.0,0.0,0.9,0.024595975875854492,0.632596492767334,0.008102807,0.008280022,-0.0189237,-2.2976863072462,0.0,1.5258999999999994,40000,2.1858487129211426,0.8027457558490186,0.6450955216444888,1.9100403785705566,0.060859613798060694,0.05743613054786273,-4.016600363134579,0.0,1.4315999999999998
3,4.956501245498657,-2.2811499451179698,11.036867554434606,99.27677338085225,-7.598863457123844,1.414600000000001,0.3179635828204233,1.9100000000000015,0.0,0.0,1.0,0.02489185333251953,0.6363189220428467,0.009960079,0.008749867,-0.021256108,-2.296032671033377,0.0,1.4146000000000007,40000,2.091566324234009,0.745132292526738,0.5649909330905116,1.984649896621704,0.06525245002592302,0.0642756392702253,-3.734318696805767,0.0,1.2176
4,5.054979085922241,-2.0822139140151172,8.918688564813229,52.35058095293685,-9.062430726769914,1.317800000000001,0.3456995227072207,1.9300000000000015,0.15,0.0,0.9,0.025375843048095703,0.6352839469909668,0.008104904,0.0059565483,-0.01743518,-2.274650795331551,0.0,1.3178,40000,2.1315701007843018,0.7106109735933726,0.5187946626664091,1.9259757995605469,0.09369363292063934,0.08149039453936266,-2.162885310558278,0.0,1.1791999999999998
5,4.964050531387329,-2.7992149675438407,7.342455764605874,56.9836089563769,-10.035888995834775,1.2614500000000008,0.3334477432822123,1.9100000000000015,0.35000000000000014,0.0,1.0,0.02425837516784668,0.6168317794799805,0.009942074,0.005172238,-0.02122134,-2.32710721255278,0.0,1.2614500000000002,40000,2.083146572113037,0.675418457414188,0.5906925107905534,2.045980930328369,0.08665594711120295,0.08729337445840687,-3.6918155273064603,0.0,1.0303999999999998
6,5.068959951400757,-2.0888163668514674,11.203364410426186,87.43382545527359,-9.769321293759834,1.1782500000000007,0.36080249098364087,1.9300000000000015,0.01,0.0,1.0,0.024097442626953125,0.6218383312225342,0.009912095,0.0067025297,-0.021006713,-2.3032781279826486,0.0,1.1782500000000007,40000,2.1018359661102295,0.6366277910505074,0.496180673267517,2.090052843093872,0.11801695563427614,0.10471317583441767,-2.9183628781394266,0.0,0.7632000000000001
7,5.065951347351074,-1.1898007756358744,12.727927838131444,64.74464774586532,-9.838391288525854,1.0227000000000006,0.35257865789069004,1.7600000000000013,0.10999999999999999,0.0,1.0,0.025415658950805664,0.7043716907501221,0.009981989,0.0065318607,-0.02066349,-2.1919303927479716,0.0,1.0227000000000004,40000,2.074849843978882,0.5789356373767461,0.48058615618466777,2.116297721862793,0.15857426874332312,0.13131771106993403,-1.2263975186856337,0.0,0.4427999999999999
8,4.962507724761963,-0.9972097600246991,13.180691907415255,74.29087242288847,-11.270335267349914,0.9180500000000006,0.3707528792875387,1.8500000000000014,0.0,0.0,0.9,0.025139808654785156,0.6436505317687988,0.008448417,0.021773254,-0.0066685467,-2.0724583294756442,0.0,0.9180499999999998,40000,2.048724412918091,0.575497945037182,0.42411602671422116,2.0363235473632812,0.1689709492013985,0.1574765165176277,-2.8027283698502425,0.0,0.4964
9,4.953390836715698,-1.2661714877757968,13.827549869173048,88.67765293204822,-6.928765103952766,0.9412500000000006,0.35783227565439124,1.7700000000000014,0.0,0.0,1.0,0.02419257164001465,0.6339147090911865,0.00997712,0.006006793,-0.020942017,-1.9918296453056596,0.0,0.9412500000000003,40000,2.0896735191345215,0.47434717932245335,0.3857858520844632,1.9736149311065674,0.14059336768586425,0.13433341395375575,0.3247468314143226,0.0,0.30839999999999995
