iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,9.89873456954956,-2218.1097585517473,370.6387160560249,-1206.401076343708,-3935.6706203428594,"(0.0, 443190)",155.97959451789805,0.05,0.0753931999206543,1.4857509136199951,0.024908533,0.03216702,-2218.1097585517473,0.0,443190,40000,1.8164098262786865,0.9998246951455159,0.06097797233656506,-2138.268510702858,"(0.0, 53370)"
1,14.212334871292114,-2118.9085929169473,319.2006637196799,-909.2888935364709,-3524.349050364202,"(0.0, 423460)",146.13360100678108,0.05,0.2197248935699463,4.1779563426971436,0.024991116,0.03405836,-2208.1896419882673,0.0,423460,40000,10.830843448638916,0.05606742792249104,0.024833586407146946,-2067.305818007121,"(0.0, 51590)"
2,17.271871089935303,-2067.649910360321,191.12676315468306,-1040.1975929294017,-2713.1361703766574,"(0.0, 413240)",138.32394815542008,0.05,0.23395252227783203,4.57932448387146,0.024438323,0.035708945,-2194.1356688254727,0.0,413240,40000,9.541370391845703,0.013761053819582668,0.011500239916469224,-2011.1238965846583,"(0.0, 50190)"
3,17.96446704864502,-2008.5325749567692,180.35135706041666,-982.2760753774937,-2872.655872368278,"(0.0, 401680)",142.42589992148714,0.05,0.1945652961730957,4.353598594665527,0.02539193,0.035588473,-2175.5753594386024,0.0,401680,40000,10.101759433746338,0.01463230938145444,0.013400734476120823,-2003.3778132595921,"(0.0, 50000)"
4,18.267979383468628,-1977.1807775678933,199.82566481541193,-768.7275024405455,-2523.9842958550985,"(0.0, 395290)",144.41112083733114,0.05,0.21769070625305176,4.3248889446258545,0.02554999,0.036051147,-2155.7359012515317,0.0,395290,40000,10.031545400619507,0.017716936377862914,0.016274537383399606,-2003.1238423019815,"(0.0, 50000)"
5,18.849056482315063,-1977.3313523852642,151.97058979741885,-829.9006449652326,-2222.5670453137523,"(0.0, 395170)",150.9113423769179,0.05,0.17026281356811523,4.3765599727630615,0.02531696,0.033112533,-2137.895446364905,0.0,395170,40000,12.444453477859497,0.010461184377914046,0.010154828930933434,-2003.110743909487,"(0.0, 50000)"
6,18.36302947998047,-1991.2203715076432,151.50552062476822,-692.3543701478742,-2844.9459101048183,"(0.0, 397780)",147.64801573130924,0.05,0.19300055503845215,4.647976875305176,0.025013851,0.034294795,-2123.227938879179,0.0,397780,40000,11.626124143600464,0.009923506768675958,0.009324042033389478,-1953.7924442832646,"(0.0, 48850)"
7,18.314024448394775,-1973.7957432467563,179.34475355293037,-509.56947911008774,-2273.2575879318274,"(0.0, 394480)",132.68017951383712,0.05,0.15251660346984863,4.138587236404419,0.025235727,0.0448805,-2108.284719315937,0.0,394480,40000,13.482388496398926,0.013741023397124776,0.012567596272062508,-1954.2747106542304,"(0.0, 48860)"
8,19.072437524795532,-1959.008742757289,214.9366049206519,-600.4220669778674,-2382.6939202933354,"(0.0, 392140)",134.10253357803563,0.05,0.15933871269226074,4.021918535232544,0.025022233,0.041880257,-2093.357121660072,0.0,392140,40000,13.600508451461792,0.01928406321366749,0.01855778934389264,-1945.0083568702137,"(0.0, 48650)"
9,18.02349829673767,-1977.2793107474808,142.00948870722846,-1147.5106660147,-2294.4584194303316,"(0.0, 395120)",143.93493109254047,0.05,0.0962684154510498,4.13560938835144,0.025598833,0.034968633,-2081.749340568813,0.0,395120,40000,14.288560628890991,0.009344294611520225,0.008732131139848444,-1938.4131792537335,"(0.0, 48490)"
10,19.581552267074585,-1973.8351728957973,153.21399937212158,-801.1606122882151,-2574.280211699507,"(0.0, 394810)",137.285334179714,0.05,0.10299158096313477,3.5753087997436523,0.025727183,0.03845918,-2070.9579238015112,0.0,394810,40000,14.059043407440186,0.01078388991059747,0.010482430617648164,-1915.0934397495316,"(0.0, 48030)"
11,19.83347797393799,-1987.3279530249627,148.62352893791723,-849.1056274041595,-2425.480705236275,"(0.0, 397070)",125.76664056663768,0.05,0.12390351295471191,3.6966495513916016,0.025115574,0.045121856,-2062.5949267238566,0.0,397070,40000,14.517110347747803,0.010697716857313952,0.009807954168367172,-1715.345727218587,"(4.0, 44140)"
12,18.499743461608887,-1956.2910755824541,228.55555337317082,-291.06129312092025,-2503.8507376390758,"(0.0, 392050)",125.77492318799428,0.05,0.14432621002197266,3.9466447830200195,0.024780458,0.04801256,-2051.9645416097164,0.0,392050,40000,17.32223343849182,0.02085405119741149,0.01964445606168277,-1895.593392125887,"(0.0, 47500)"
13,18.935168027877808,-1949.93198168027,209.76050226166197,-705.3682859617993,-2364.64006920808,"(0.0, 390430)",144.60235110276153,0.05,0.13994383811950684,3.76688814163208,0.025418717,0.036182936,-2041.7612856167718,0.0,390430,40000,13.967761278152466,0.019097056938759682,0.017945564975641256,-1756.63533732175,"(0.0, 44270)"
14,18.2974910736084,-1989.0811206230078,127.60636209798204,-806.6691985490007,-2685.091435091303,"(0.0, 397320)",140.74367645916587,0.05,0.13979506492614746,3.1051926612854004,0.025045881,0.036937393,-2036.4932691173954,0.0,397320,40000,12.99940538406372,0.008263364712158461,0.006807294385773382,-1812.6244731132801,"(0.0, 45560)"
15,18.51825714111328,-1960.7544482338067,234.97913791139794,-544.2653172548949,-2603.7263849796695,"(0.0, 392060)",141.6229530391963,0.05,0.12963247299194336,3.2562551498413086,0.025442917,0.038902786,-2028.9193870290364,0.0,392060,40000,14.977303504943848,0.022157322925494084,0.02096956012197492,-1729.3416193654894,"(0.0, 43780)"
16,19.20699167251587,-1972.2249235247066,187.36518573619117,-763.2805981317285,-3116.416950527609,"(0.0, 394240)",134.22285889033424,0.05,0.1771402359008789,3.6427998542785645,0.025303803,0.037424553,-2023.2499406786035,0.0,394240,40000,17.128098964691162,0.01504629486449234,0.014444264031776838,-1607.8437392611415,"(8.0, 42750)"
17,18.614222288131714,-1955.4586675155235,212.66573690484063,-736.7214967685401,-2664.4580850404204,"(0.0, 391220)",136.49368047547938,0.05,0.20251154899597168,3.688387870788574,0.025495008,0.038073115,-2016.4708133622953,0.0,391220,40000,14.282217264175415,0.020965072492226466,0.019989530595355885,-1651.80303377501,"(8.0, 43910)"
18,21.275456190109253,-1963.2681068652032,193.96572470738107,-819.1685110166167,-2705.326083898927,"(0.0, 392610)",140.15650496027317,0.05,0.12819457054138184,3.3842005729675293,0.025140867,0.037090626,-2011.150542712586,0.0,392610,40000,14.551698684692383,0.01793073342776826,0.017540939714851475,-1581.6867781538747,"(4.0, 40750)"
19,19.26709818840027,-1949.8612753153243,223.31765260360174,-558.9181064573357,-2514.526347008816,"(0.5, 390320)",135.5784903644292,0.05,0.12755775451660156,3.879617214202881,0.024809519,0.039045904,-2005.02161597286,0.5,390320,40000,15.721373319625854,0.020456879817600884,0.01971638210816846,-1673.0902130044806,"(4.0, 42770)"
20,18.366430521011353,-1969.39687978417,171.68051741689442,-662.4351159462229,-2384.4995265733405,"(0.0, 393640)",145.8857796519874,0.05,0.11549115180969238,3.6156227588653564,0.025136665,0.035234075,-2001.459142353991,0.0,393640,40000,14.72695541381836,0.012426252833139612,0.01141827230629777,-1693.9427675384388,"(4.0, 43380)"
21,16.575896739959717,-1960.5429870647508,197.23089212528504,-529.2576889520509,-2544.175666933524,"(0.5, 392530)",138.74490020851067,0.05,0.12677216529846191,3.4517948627471924,0.025021115,0.037591398,-1997.367526825067,0.5,392530,40000,15.714612007141113,0.01747236651937336,0.016646996199502082,-1538.1654536561994,"(4.0, 41370)"
22,17.602326154708862,-1980.4855572387162,167.5805996499984,-1092.2074244100656,-2944.5099901799776,"(0.0, 396020)",138.52744036793453,0.05,0.14892196655273438,3.6084015369415283,0.024923606,0.034854334,-1995.679329866432,0.0,396020,40000,15.07435941696167,0.013785527807312094,0.013006483127348997,-1685.4461592471262,"(0.0, 42600)"
23,18.02049732208252,-1959.2204060967279,203.69248408235092,-509.5624588603571,-2441.7133079722025,"(0.0, 391730)",148.94450789783002,0.05,0.12154865264892578,3.9366774559020996,0.024919199,0.034990884,-1992.0334374894617,0.0,391730,40000,17.72384810447693,0.017842874002332667,0.01717429394918625,-1482.1482690198611,"(12.0, 39060)"
24,17.85789155960083,-1903.106652479752,315.0734974539235,-50.79525549088002,-2804.9987518942485,"(0.5, 382000)",142.74528423592471,0.05,0.11687350273132324,3.312481164932251,0.024952158,0.037380733,-1983.140758988491,0.5,382000,40000,16.858773946762085,0.043684763345884906,0.03971577928196785,-1610.0690506937651,"(4.0, 41330)"
25,18.0265953540802,-1925.8367054404641,293.2465045355103,-489.60045630150745,-2524.423211804513,"(0.5, 386070)",139.72685610338706,0.05,0.09265828132629395,3.9822936058044434,0.024925506,0.03659595,-1977.4103536336884,0.5,386070,40000,17.074913501739502,0.03556532064639768,0.033725141023335216,-1514.7133238797644,"(4.0, 40630)"
26,17.750967264175415,-1945.7806084028655,225.2324815160711,-570.4593124792539,-2353.745270952318,"(0.0, 389580)",134.01501628412868,0.05,0.13957452774047852,3.4944844245910645,0.024726916,0.03718379,-1974.247379110606,0.0,389580,40000,15.710267782211304,0.02250158926525321,0.019895519295533626,-1643.0025249250725,"(0.0, 41590)"
27,19.033101558685303,-1916.444479249136,274.46007650294814,-643.0248706731242,-2273.5234646741587,"(0.0, 384220)",138.85992893650027,0.05,0.15590739250183105,3.1643869876861572,0.024960853,0.036592618,-1968.467089124459,0.0,384220,40000,15.483635663986206,0.030352511131905926,0.02952880101214046,-1554.6058529066167,"(0.0, 39710)"
28,17.815625429153442,-1935.1281800534807,261.71672095119135,-584.6634077198413,-2264.194657017138,"(0.5, 388230)",142.62462361169844,0.05,0.10458803176879883,3.605778217315674,0.025121702,0.040012624,-1965.1331982173615,0.5,388230,40000,15.771575212478638,0.027215230480192074,0.02572274709817189,-1675.4146840050369,"(0.0, 42360)"
29,19.020262956619263,-1937.2950185094069,236.70394637575842,-632.0874072832,-2184.1705969900777,"(0.0, 387710)",133.56222375440987,0.05,0.24984455108642578,3.8409693241119385,0.024940686,0.038380716,-1962.3493802465662,0.0,387710,40000,15.083595275878906,0.022329938118050344,0.021083418524397775,-1621.1403161518988,"(0.0, 41120)"
30,19.23404598236084,-1949.7480821084514,228.61533957274995,-517.9496223912264,-2664.171478798787,"(0.0, 389940)",137.6758729727559,0.05,0.27986812591552734,4.074731111526489,0.025036162,0.037794463,-1961.0892504327546,0.0,389940,40000,14.978759765625,0.021215187168789902,0.019238841641980427,-1715.8709329701867,"(0.0, 43590)"
31,19.02318286895752,-1944.5993248981983,232.05014805904665,-447.8598948258693,-2123.174683794646,"(0.0, 389040)",132.6788412174568,0.05,0.09755754470825195,3.237872362136841,0.025511466,0.042283326,-1959.4402578792992,0.0,389040,40000,15.020905256271362,0.02001553278958444,0.01805532181642823,-1817.502414507334,"(0.0, 45680)"
32,19.65225052833557,-1911.482611068095,305.8927789378323,-458.24872052094094,-2604.9122163756238,"(1.0, 383680)",144.6482147317973,0.05,0.14346814155578613,3.7357404232025146,0.024992764,0.036127612,-1954.644493198179,1.0,383680,40000,15.42714786529541,0.035402797690855005,0.03366591900518126,-1766.7464989779796,"(0.0, 44900)"
33,18.402568578720093,-1931.8351753784355,258.95668769103276,-455.26206759403476,-2203.2077158945362,"(0.0, 386690)",147.73132699254705,0.05,0.13304924964904785,3.831083059310913,0.024840318,0.035022978,-1952.3635614162044,0.0,386690,40000,15.603047847747803,0.02494492164626473,0.023445330216677236,-1651.594280768178,"(0.0, 41890)"
34,17.04389190673828,-1947.2784812615037,272.91746530635135,937.5943260826664,-2294.2096808555184,"(0.5, 390710)",145.75616216373996,0.05,0.12464666366577148,3.7171928882598877,0.025124347,0.03634741,-1951.8550534007343,0.5,390710,40000,14.502094984054565,0.027088926883206483,0.024692099815197058,-1685.4870499203432,"(0.0, 42610)"
35,17.403061628341675,-1941.6392015248596,244.88151560764717,-160.10636658288152,-2674.2763035740445,"(0.0, 388670)",135.03535398149938,0.05,0.12781190872192383,3.3610801696777344,0.024979837,0.037882045,-1950.8334682131467,0.0,388670,40000,15.90797758102417,0.022510422006447015,0.0212147201058053,-1672.0659313363979,"(0.0, 42460)"
36,17.22957682609558,-1949.2193330044363,238.84561743057236,-404.5748898083183,-2644.3111149794795,"(0.0, 390070)",133.09505171243163,0.05,0.11130094528198242,3.012258291244507,0.025214411,0.040661838,-1950.6720546922759,0.0,390070,40000,14.590035676956177,0.020669344746110548,0.019195761549001652,-1625.1566443740712,"(0.0, 41160)"
37,18.611448526382446,-1871.7547939234692,362.26515930212173,437.72035894713866,-2413.5549750802234,"(0.5, 377050)",138.64997004965474,0.05,0.12674498558044434,3.163581371307373,0.024842732,0.037533794,-1942.7803286153953,0.5,377050,40000,16.299193143844604,0.049137094936201615,0.044954599377544174,-1732.0372616603688,"(0.0, 43780)"
