iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,11.194021701812744,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,185.54,51.62052305043024,384,58,0.0,0.0,0.08789873123168945,1.8173892498016357,0.0,0.0,0.0,-2.1597585517469557,0.0,185.54,40000,1.1520273685455322,0.9992773176349077,0.7896938583740187,-4.380441301191137,0.0,187.76
1,10.165807723999023,-0.3031450523117034,38.64352797039958,525.5166709464701,-11.688281854273239,188.175,50.45596471181579,385,42,0.0,1,0.08032894134521484,1.7829601764678955,0.009945559,0.004845088,-0.018961074,-1.9740972018034306,0.0,188.175,40000,7.665001630783081,0.9649441661886385,0.9246735646899447,-4.318611902774813,0.0,178.16
2,10.559258937835693,-3.4724647428769955,6.649065613018218,41.24361535609684,-10.157601143430389,190.08,46.166260407358095,327,40,0.0,0.0,0.07704377174377441,1.8481414318084717,0.0,0.0,0.0,-2.123933955910787,0.0,190.08,40000,13.13547968864441,2.1107244108933503,0.8139058147628042,-4.318611902774813,0.0,178.16
3,10.255241632461548,-2.6725214270618265,13.320055657709885,148.86065063662704,-8.97697147266559,187.45,48.818003851038405,371,62,0.0,1,0.07687687873840332,1.8866603374481201,0.009932203,0.0051998273,-0.018370913,-2.178792703025891,0.0,187.45,40000,13.263352155685425,0.9110228995976234,0.8516284772579807,-4.340688917582364,0.0,182.16
4,10.261687755584717,-2.2738823482320614,10.02353385812757,60.22205980000553,-7.718339923433341,177.51,48.21368996457334,348,48,0.0,0.0,0.08114480972290039,1.7997753620147705,0.0,0.0,0.0,-2.188301667546508,0.0,177.51,40000,12.431411504745483,0.7900218991173614,0.7247015661821944,-4.340688917582364,0.0,182.16
5,10.357784032821655,-2.461930857327912,9.72720955387585,65.29215267823494,-7.746440152222452,180.15,46.701686265058996,326,48,0.0,0.0,0.07635784149169922,1.821049690246582,0.0,0.0,0.0,-2.2156645865246483,0.0,180.15,40000,11.631298542022705,0.8002345911559071,0.7613360262032347,-4.340688917582364,0.0,182.16
6,10.149302959442139,-2.8287674662869504,10.831447010302155,93.67047438468832,-7.87982889090054,180.58,47.60413427424135,339,60,0.0,0.0,0.0760505199432373,1.8897531032562256,0.0,0.0,0.0,-2.2769748745008784,0.0,180.58,40000,12.311319351196289,0.8130904726445995,0.6897390556127493,-4.340688917582364,0.0,182.16
7,10.352751731872559,-1.6140652929370742,19.158909109337742,205.40161828426395,-8.07078757331961,180.29,50.90074557410726,347,48,0.0,0.0,0.0762183666229248,1.7968151569366455,0.0,0.0,0.0,-2.210683916344498,0.0,180.29,40000,12.431264638900757,0.891256392762261,0.813836157337449,-4.340688917582364,0.0,182.16
8,10.213619947433472,-3.243083319779804,7.97076725835572,79.09031802017697,-7.442547588114256,185.765,49.73791084273645,332,24,0.0,0.0,0.08402538299560547,1.9406929016113281,0.0,0.0,0.0,-2.3139238566880285,0.0,185.765,40000,11.85635757446289,1.0102627844951424,0.6525580451310914,-4.340688917582364,0.0,182.16
9,10.265486240386963,-3.7758983533238495,7.363539260537083,54.85469887775058,-9.674707704449002,185.125,49.49857952507324,351,54,0.0,0.0,0.07474088668823242,1.775801658630371,0.0,0.0,0.0,-2.4601213063516107,0.0,185.125,40000,11.642050981521606,0.715231965406794,0.6109140474249396,-4.340688917582364,0.0,182.16
10,10.386810541152954,-1.4590335155415857,16.416875825520716,180.69800949742006,-10.145780763379806,182.2,44.86869732898427,367,24,0.0,0.0,0.08086609840393066,1.8378710746765137,0.0,0.0,0.0,-2.3600125272706087,0.0,182.2,40000,11.79643964767456,0.8501420467375181,0.7547852845981892,-4.340688917582364,0.0,182.16
11,10.18300199508667,-2.438399317037926,19.05798358842588,246.55130609502558,-13.798726190427672,185.21,48.71586907774509,386,56,0.0,1,0.07552266120910645,1.7853596210479736,0.009936748,0.0034458886,-0.020515554,-2.3678512062473405,0.0,185.21,40000,11.053791761398315,0.8023198218013247,0.6360100844321147,-4.320433742585586,0.0,179.88
12,10.189029216766357,-2.774464027401509,9.869766311012317,80.27608563424849,-8.63722708968547,181.825,43.65815359128235,322,61,0.0,0.0,0.07838773727416992,1.842921257019043,0.0,0.0,0.0,-2.4085124883627573,0.0,181.825,40000,11.168228149414062,0.8820379322378786,0.675507922463162,-4.320433742585586,0.0,179.88
13,10.251908779144287,-2.250399540424616,13.66280335861004,154.40723006972786,-7.533710363338823,179.465,45.738591747013814,326,54,0.0,0.0,0.07944631576538086,1.8656671047210693,0.0,0.0,0.0,-2.3927011935689433,0.0,179.465,40000,11.67429232597351,0.8229542555130279,0.763870029956063,-4.320433742585586,0.0,179.88
