iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,9.663118600845337,-3.143658551746955,11.428641880774283,73.02892365629197,-9.415414917930342,0.9839000000000007,0.48950565880283775,2.3799999999999932,0.0,0.0,0.7477377634608534,0.02,0.0562288761138916,1.4317567348480225,0.009983239,0.02980654,-3.143658551746955,0.0,0.9838999999999996,40000,1.4659652709960938,0.9978294636979382,0.7843523025169014,-5.722369648839765,0.0,1.2439999999999998
1,9.56220817565918,-3.0677987533724345,15.416675799839528,161.29356134239197,-10.145736408655099,1.0088000000000006,0.5308121701694491,3.5900000000000007,0.0,0.0,0.893085579963877,0.02,0.05479788780212402,1.6620235443115234,0.009923235,0.023696564,-3.1360725719095033,0.0,1.0088000000000006,40000,4.153045415878296,0.8733419441380075,0.7788775205883035,-5.441935310977418,0.0,1.1419999999999997
2,9.4621262550354,-1.7800023348242058,18.70513901753364,145.5125018171902,-9.23362909984493,1.0932500000000007,0.47628556297666674,2.0000000000000013,0.0,0.0,0.8840306357736315,0.02,0.05443882942199707,1.460975170135498,0.009905564,0.024147294,-3.0004655482009737,0.0,1.0932499999999998,40000,6.130217552185059,0.8670885084463047,0.7800340852253483,-5.197615086586321,0.0,1.0819999999999999
3,9.562801599502563,0.42986967656298825,37.2846207625245,428.3194586589111,-9.975794341268754,1.0405000000000006,0.4818773184120623,2.479999999999991,0.09,0.5,0.8360966630336635,0.02,0.058622121810913086,1.4751369953155518,0.009818932,0.030075861,-2.6574320257245776,0.5,1.0405000000000006,40000,6.096223831176758,0.864530766569915,0.69010188318041,-5.142161472977039,0.0,1.0751999999999997
4,9.463657855987549,-1.094246081493383,17.330444412975073,134.8594223587637,-9.978924514182765,0.9960000000000007,0.5012803606765383,2.3699999999999934,0.0,0.0,0.8546171274092936,0.02,0.05630207061767578,1.5048651695251465,0.009854142,0.022616217,-2.5011134313014582,0.0,0.9960000000000002,40000,6.085131406784058,0.8833857084388651,0.6895314200658571,-4.938004087298646,0.0,0.9564
5,9.46421766281128,-2.7699162184483357,10.949792882387397,69.17045669990544,-9.080401783226957,1.0018000000000007,0.45181385547590314,2.159999999999998,0.04,0.0,0.8291924838905294,0.02,0.056172847747802734,1.4367694854736328,0.009981018,0.024300585,-2.5279937100161463,0.0,1.0018,40000,6.2503674030303955,0.8845384730699573,0.7715971699258738,-4.731024168491732,0.0,0.8991999999999999
6,9.565405368804932,-3.0085301228009755,13.268856536289405,121.45475578048891,-8.86508112856108,0.9579500000000007,0.4580221583067792,1.9700000000000015,0.0,0.0,0.8474180474577815,0.02,0.05620241165161133,1.4537529945373535,0.00830506,0.02155601,-2.576047351294629,0.0,0.95795,40000,5.837061166763306,0.7946476055711944,0.725655188511937,-3.6725902047226673,0.0,0.7924
7,9.659932851791382,0.6006686331003515,29.68204209936392,308.61002788628326,-10.342178027702746,0.8694000000000005,0.4279107850942767,2.0400000000000005,0.0,0.0,0.9231456245971962,0.02,0.056188106536865234,1.462177038192749,0.008125691,0.01821975,-2.258375752855131,0.0,0.8694,40000,5.699215888977051,0.8644503975288726,0.7979044590594288,-2.3708307496259344,0.0,0.8312
8,9.558913707733154,0.9723981678044907,42.37091188429195,500.5404777547699,-9.625454410071777,0.8999500000000006,0.4301238164761401,1.8800000000000014,0.0,0.0,0.8010720305309399,0.02,0.05456876754760742,1.4229075908660889,0.009829233,0.030440437,-1.9352983607891692,0.0,0.8999499999999998,40000,5.440266847610474,0.7731105238058665,0.6053714089071668,-3.537591171621881,0.0,0.8340000000000001
9,9.562708377838135,-0.8595162303967776,23.419749151097044,231.3808606877728,-10.229453730034127,0.8988500000000006,0.419206604790526,2.0300000000000007,0.0,0.0,0.8432146318604953,0.02,0.055666446685791016,1.4026367664337158,0.0081557175,0.019357989,-1.82772014774993,0.0,0.8988499999999996,40000,4.571835517883301,0.9563068112179094,0.7549907135531643,-4.116746007101152,0.0,0.7856000000000001
