iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
24,20.03379249572754,-1819.2378093068737,310.57145729516117,-372.04925091608294,-2184.9925615485013,"(0.0, 364440)",146.63768029994415,0.05,0.20688438415527344,3.8772284984588623,0.024599176,0.03531695,-1899.8372100333413,0.0,364440,40000,17.194621324539185,0.035616631156480845,0.03326942876032498,-1822.3830109548103,"(0.0, 45520)"
25,19.1247456073761,-1870.6609493071737,272.92774889514976,-456.35805337205414,-3275.8953201522877,"(0.0, 374270)",149.08877157561153,0.05,0.21114897727966309,3.2220897674560547,0.025185067,0.034826,-1896.9195839607246,0.0,374270,40000,14.49888300895691,0.028790785740933654,0.026204331627131053,-1819.812357370286,"(0.0, 45470)"
26,17.91441512107849,-1840.8918524066858,274.21229857561866,-372.50106638587937,-2125.1977914428608,"(0.0, 368430)",142.09875851980556,0.05,0.27037787437438965,3.740291118621826,0.0249082,0.037660923,-1891.316810805321,0.0,368430,40000,15.01909327507019,0.027137328154785048,0.02590486349889791,-1849.0865360014784,"(0.0, 46150)"
27,19.13365888595581,-1892.2907362944857,175.51810306690587,-881.5357419504263,-2193.545034053631,"(0.0, 378080)",147.33070078870233,0.05,0.23622632026672363,3.164224624633789,0.02501252,0.03450751,-1891.4142033542375,0.0,378080,40000,16.567402124404907,0.01406391408257437,0.012267470076495247,-1822.3936093469608,"(0.0, 45520)"
28,19.603272914886475,-1882.2986662794463,229.13085604476478,-277.1927550900525,-2084.261510920231,"(0.0, 376230)",152.84594693169777,0.05,0.14361977577209473,3.995304584503174,0.025366476,0.03405192,-1890.5026496467585,0.0,376230,40000,13.428766965866089,0.01708648606954712,0.016266497289332667,-1769.7941414797374,"(0.0, 44290)"
29,19.242207765579224,-1834.02697383099,311.8253544418778,-218.23717283794633,-2504.3626109977095,"(0.0, 367280)",152.2935361360274,0.05,0.20328688621520996,3.8592350482940674,0.025323004,0.03473766,-1884.8550820651817,0.0,367280,40000,15.49139142036438,0.03631368722919667,0.034821645009612795,-1744.2738082224525,"(0.0, 43660)"
30,18.418461799621582,-1842.2169931884068,265.5562687725115,-407.03862905062647,-2032.894120116245,"(0.0, 368640)",142.03241722989748,0.05,0.11656475067138672,3.9153738021850586,0.024999598,0.036745038,-1880.5912731775043,0.0,368640,40000,13.601163387298584,0.028533943739119688,0.025344896784224937,-1829.968446715061,"(0.0, 45710)"
31,17.66414499282837,-1849.410896472864,273.17322709818023,-324.6758634098175,-2294.2169180496076,"(0.0, 370020)",151.01868851744894,0.05,0.18734383583068848,3.979792594909668,0.025126241,0.033912335,-1877.4732355070403,0.0,370020,40000,9.58298921585083,0.02483380524574678,0.024862278944307575,-1730.3405425190679,"(0.0, 43290)"
32,17.639905214309692,-1821.107915495651,298.54715164310943,-309.7284470919037,-1999.3713905566992,"(0.0, 364780)",148.0602680734067,0.05,0.10663890838623047,3.025228500366211,0.024750156,0.034933638,-1871.8367035059014,0.0,364780,40000,12.703947305679321,0.03129509589448109,0.029478824207348233,-1857.0375276960826,"(0.0, 46330)"
33,18.21683669090271,-1793.8929966723738,360.0071691865522,-287.0128529645833,-2404.52124835401,"(0.0, 359480)",152.67260953960482,0.05,0.16158580780029297,3.6935360431671143,0.025006738,0.034631584,-1864.0423328225486,0.0,359480,40000,15.58610224723816,0.04367944029680701,0.04071650773896759,-1748.4626568726683,"(0.0, 43710)"
34,19.16689968109131,-1795.1658661462507,348.248517331662,-328.27580087611335,-2201.2786474573754,"(0.0, 359630)",143.37640318593162,0.05,0.14910435676574707,3.8369531631469727,0.02496394,0.035458326,-1857.1546861549189,0.0,359630,40000,17.209593296051025,0.042605606368635994,0.04092266796564482,-1775.479167615372,"(0.0, 44400)"
35,18.779242277145386,-1775.2450902123505,373.7802100289986,-232.54904287392125,-2483.044684839236,"(0.0, 355980)",159.98460366064836,0.05,0.14548277854919434,3.7710227966308594,0.024841685,0.031350568,-1848.963726560662,0.0,355980,40000,16.684187650680542,0.04973550963101374,0.05016086601846321,-1666.0921592993952,"(0.0, 41810)"
36,19.439308643341064,-1822.7961310800397,332.82703533565257,-194.27746592460161,-2404.3306685508005,"(0.0, 365160)",148.79691670770106,0.05,0.14363932609558105,3.4461212158203125,0.024861062,0.03415123,-1846.3469670125999,0.0,365160,40000,14.723475456237793,0.040063101119740055,0.03236562525587735,-1518.6130391700854,"(0.0, 38380)"
37,17.565111875534058,-1793.2673769896867,352.21505190466416,-249.82614048756938,-1984.7090188616207,"(0.0, 359220)",155.71908484606405,0.05,0.10723662376403809,3.1125130653381348,0.02487465,0.03392082,-1841.0390080103084,0.0,359220,40000,14.019327878952026,0.040593850077376974,0.03842300577420788,-1453.5233799247196,"(0.0, 36790)"
38,18.655052423477173,-1793.1362717622694,348.05605214534035,-243.60997717091303,-2043.1625551334546,"(0.0, 359560)",143.1195290001049,0.05,0.13509368896484375,3.25085186958313,0.02462659,0.036585946,-1836.2487343855046,0.0,359560,40000,14.633875846862793,0.03863874511129517,0.037139782096952685,-1453.2234574686393,"(0.0, 36810)"
39,19.068241119384766,-1697.4670445957152,499.481744716611,-210.32936007404527,-2754.0630612171326,"(0.0, 341330)",153.4562993229824,0.05,0.13499689102172852,3.7740390300750732,0.025366407,0.034147523,-1822.3705654065257,0.0,341330,40000,15.86942744255066,0.08063324811646749,0.07346951378793386,-1299.217124658181,"(0.0, 33230)"
40,20.03509283065796,-1736.9673547937623,416.60503437335285,-355.1557834424283,-2003.0178918580625,"(0.0, 348630)",142.59380084475092,0.05,0.18044400215148926,3.421337842941284,0.024694059,0.036111202,-1813.8302443452494,0.0,348630,40000,15.434279203414917,0.05782918279831155,0.053337321175410346,-1330.0666596426727,"(0.0, 33910)"
41,18.163039445877075,-1686.0903824162378,434.17106485981856,-287.93298456701046,-1993.5244203564757,"(0.0, 339630)",145.55047943518912,0.05,0.16870331764221191,3.444734811782837,0.024724802,0.035214167,-1801.0562581523482,0.0,339630,40000,15.154897212982178,0.0686809495894795,0.062096358025382214,-1157.3732041528776,"(0.0, 29770)"
42,19.884658098220825,-1662.7794486221787,485.0334238843257,-299.13427400700806,-2104.123282858263,"(0.0, 335040)",142.5139946381977,0.05,0.1539452075958252,3.6938648223876953,0.025006082,0.03540315,-1787.2285771993313,0.0,335040,40000,16.8766086101532,0.07947860814252611,0.07368673879387068,-1055.7559094293686,"(0.0, 27390)"
43,19.494740962982178,-1639.1720205702381,491.81141924852267,-288.91257585221695,-2025.843386406485,"(0.0, 330320)",139.9837836028106,0.05,0.26317358016967773,3.963707685470581,0.025334733,0.035860416,-1772.422921536422,0.0,330320,40000,16.972944974899292,0.08131585973075728,0.07731840900468334,-1135.0267403586854,"(4.0, 29790)"
44,20.12816619873047,-1595.6879091254277,520.3817538797126,-29.893900846392114,-2193.442500391802,"(0.5, 323320)",142.33844047314025,0.05,0.18819665908813477,3.2409157752990723,0.025004512,0.035851825,-1754.7494202953226,0.5,323320,40000,13.6997709274292,0.0985232625300995,0.09426671032122577,-1115.6180457180353,"(4.0, 29400)"
45,20.910638570785522,-1562.3749370884218,523.25143289963,-166.68106144991134,-2134.5084000696324,"(0.0, 316070)",148.3932142626389,0.05,0.19433236122131348,4.085886240005493,0.024799725,0.03417173,-1735.5119719746326,0.0,316070,40000,19.073474645614624,0.1008094576077296,0.09509529691982392,-1028.5529704626026,"(0.0, 26860)"
46,19.548398733139038,-1572.535849211673,547.1840228869696,-150.87776062806336,-2454.017398406305,"(0.5, 319320)",150.52821163809736,0.05,0.18324756622314453,3.799003839492798,0.024984619,0.03406956,-1719.214359698337,0.5,319320,40000,14.203576803207397,0.10725096947196851,0.10240373236372356,-993.1921691802813,"(0.0, 26270)"
47,21.39146375656128,-1534.929502486686,547.1207080258403,-213.09311025177226,-2254.095007934282,"(0.0, 311300)",149.50694578819477,0.05,0.17807388305664062,3.3410773277282715,0.025016211,0.03372827,-1700.7858739771718,0.0,311300,40000,16.24401330947876,0.11103511376039495,0.1051705510614893,-864.3176691479981,"(0.0, 23010)"
